"cc","FloodPhenomenaID","Year","StartDate","EndDate","Number_FE","Number_FL","EUUOMCODE","FP_Severity","FP_Duration","FP_Extension","SourceOfFlooding","CharacteristicsOfFlooding","MechanismOfFlooding","FrequencyCategory","Area","Source","OtherSources"
"AL","AL-1992-11-17",1992,17/11/1992,19/11/1992,,,"","Very High",2,"","","","","",,"EM-DAT",""
"AL","AL-1995-08-19",1995,19/08/1995,26/08/1995,,,"","Very High",8,"","","","","",,"DFO",""
"AL","AL-1995-09-20",1995,20/09/1995,20/09/1995,,,"","Very High",,"","","","","",,"EM-DAT",""
"AL","AL-1995-09-21",1995,21/09/1995,24/09/1995,,,"","Very High",4,"","","","","",,"DFO",""
"AL","AL-1995-12-27",1995,27/12/1995,27/12/1995,,,"","Moderate",,"","","","","",,"EM-DAT",""
"AL","AL-1996-11-19",1996,19/11/1996,21/11/1996,,,"","High",3,"","","","","",,"DFO",""
"AL","AL-1997-12-20",1997,20/12/1997,23/12/1997,,,"","Moderate",3,"","","","","",,"EM-DAT",""
"AL","AL-2002-09-21",2002,21/09/2002,10/10/2002,,,"","Very High",19,"","","","","",,"EM-DAT",""
"AL","AL-2004-12-04",2004,04/12/2004,08/12/2004,,,"","Moderate",4,"","","","","",,"EM-DAT",""
"AL","AL-2005-11-30",2005,30/11/2005,03/12/2005,,,"","Very High",3,"","","","","",,"EM-DAT",""
"AL","AL-2009-12-27",2009,27/12/2009,08/01/2010,,,"","Moderate",12,"","","","","",,"EM-DAT",""
"AL","AL-2010-12-03",2010,03/12/2010,03/12/2010,,,"","Moderate",,"","","","","",,"EM-DAT",""
"AL","AL-2013-03-15",2013,15/03/2013,12/04/2013,,,"","High",29,"","","","","",,"DFO",""
"AT","AT-1980-10-13",1980,13/10/1980,13/10/1980,,,"","Moderate",,"","","","","",,"EM-DAT",""
"AT","AT-1982-01-31",1982,31/01/1982,01/02/1982,3,3,"AT1000","High",1,"","Fluvial","High velocity flow","Natural exceedance","Rare",,"FD",""
"AT","AT-1982-05-18",1982,18/05/1982,18/05/1982,,,"","Moderate",,"","","","","",,"EM-DAT",""
"AT","AT-1983-09-22",1983,22/09/1983,22/09/1983,,,"","Moderate",,"","","","","",,"EM-DAT",""
"AT","AT-1985-05-17",1985,17/05/1985,18/05/1985,1,1,"AT1000","Moderate",1,"","Fluvial","Flash flood","Blockage/restriction","",,"FD",""
"AT","AT-1985-08-06",1985,06/08/1985,08/08/1985,2,2,"AT1000","Very High",2,"","Fluvial","Deep flood","Natural exceedance","Very Rare",,"FD","Data on Fatalities obtained from EM-DAT"
"AT","AT-1987-07-01",1987,01/07/1987,02/07/1987,2,2,"AT1000","Very High",1,"","Fluvial","High velocity flow","Natural exceedance","Very Rare",,"FD",""
"AT","AT-1987-07-18",1987,18/07/1987,20/07/1987,1,1,"AT1000","Very High",2,"","Fluvial","Flash flood","Natural exceedance","Very Rare",,"FD",""
"AT","AT-1987-08-15",1987,15/08/1987,17/08/1987,1,1,"AT1000","Very High",2,"","Fluvial","Debris flow","Natural exceedance","Very Rare",,"FD",""
"AT","AT-1987-08-24",1987,24/08/1987,26/08/1987,2,2,"AT1000","Very High",2,"","Fluvial","High velocity flow,Deep flood","Natural exceedance,Defence exceedance,Defence or infrastructural failure,Blockage/restriction","Very Rare",,"FD",""
"AT","AT-1987-09-05",1987,05/09/1987,06/09/1987,1,1,"AT1000","Moderate",1,"","Fluvial","","","",,"FD",""
"AT","AT-1988-09-12",1988,12/09/1988,13/09/1988,3,3,"AT1000","High",1,"","Fluvial","Debris flow","Natural exceedance","",,"FD",""
"AT","AT-1989-07-12",1989,12/07/1989,13/07/1989,1,1,"AT1000","Moderate",1,"","Fluvial","","","",,"FD",""
"AT","AT-1989-08-17",1989,17/08/1989,18/08/1989,1,1,"AT1000","Very High",1,"","","","","Very Rare",,"FD",""
"AT","AT-1991-08-01",1991,31/07/1991,08/08/1991,6,6,"AT1000","Very High",8,"","Fluvial","High velocity flow,Deep flood","Natural exceedance","Very Rare",,"FD","Data on Degree_TotalDamage obtained from EM-DAT, Data on Fatalities obtained from EM-DAT"
"AT","AT-1994-07-26",1994,26/07/1994,27/07/1994,2,2,"AT1000","Very High",1,"","Fluvial","Debris flow,Flash flood","Natural exceedance","Very Rare",,"FD",""
"AT","AT-1995-06-27",1995,27/06/1995,27/06/1995,,,"","Very High",,"","","","","",,"EM-DAT",""
"AT","AT-1995-08-06",1995,06/08/1995,07/08/1995,1,1,"AT1000","Moderate",1,"","Fluvial","Debris flow","Natural exceedance","",,"FD",""
"AT","AT-1996-06-09",1996,09/06/1996,11/06/1996,2,2,"AT1000","High",2,"","Fluvial","High velocity flow","Natural exceedance","",,"FD",""
"AT","AT-1996-06-19",1996,19/06/1996,23/06/1996,,,"","Moderate",4,"","","","","",,"EM-DAT",""
"AT","AT-1996-07-01",1996,01/07/1996,03/07/1996,1,1,"AT1000","High",2,"","Fluvial","Deep flood","Natural exceedance","Rare",,"FD",""
"AT","AT-1996-10-21",1996,21/10/1996,23/10/1996,1,1,"AT1000","Moderate",2,"","Fluvial","High velocity flow","Natural exceedance","",,"FD",""
"AT","AT-1997-07-05",1997,05/07/1997,09/07/1997,21,21,"AT1000","Very High",4,"","Fluvial","Deep flood,High velocity flow","Natural exceedance","Very Rare",,"FD","Data on Degree_TotalDamage obtained from EM-DAT, Data on Fatalities obtained from EM-DAT"
"AT","AT-1997-07-18",1997,18/07/1997,19/07/1997,5,5,"AT1000","Very High",1,"","Fluvial","High velocity flow","Natural exceedance","Very Rare",,"FD","Data on Degree_TotalDamage obtained from EM-DAT, Data on Fatalities obtained from EM-DAT"
"AT","AT-1998-09-05",1998,05/09/1998,07/09/1998,1,1,"AT1000","Very High",2,"","","","","Very Rare",,"FD",""
"AT","AT-1998-10-29",1998,29/10/1998,30/10/1998,1,1,"AT1000","Moderate",1,"","Fluvial","High velocity flow","Natural exceedance","",,"FD",""
"AT","AT-1999-02-01",1999,01/02/1999,02/02/1999,2,2,"AT1000","High",1,"","Fluvial","High velocity flow","Natural exceedance","",,"FD",""
"AT","AT-1999-02-20",1999,20/02/1999,21/02/1999,1,1,"AT1000","Moderate",1,"","Fluvial","High velocity flow","Natural exceedance","",,"FD",""
"AT","AT-1999-05-21",1999,20/05/1999,26/06/1999,4,4,"AT2000,AT1000","Very High",37,"","Fluvial","Deep flood,Snow melt flood,Slow onset flood","Natural exceedance","Very Rare",,"FD","Data on Degree_TotalDamage obtained from EM-DAT, Data on Fatalities obtained from EM-DAT"
"AT","AT-1999-09-20",1999,20/09/1999,22/09/1999,2,2,"AT1000","Very High",2,"","Fluvial","Flash flood","Natural exceedance,Blockage/restriction","Very Rare",,"FD",""
"AT","AT-2000-01-30",2000,30/01/2000,31/01/2000,1,1,"AT1000","Moderate",1,"","Fluvial","High velocity flow","Natural exceedance","",,"FD",""
"AT","AT-2000-08-06",2000,06/08/2000,08/08/2000,2,2,"AT1000","Very High",2,"","Fluvial","Deep flood","Natural exceedance","Very Rare",,"FD",""
"AT","AT-2001-12-29",2001,29/12/2001,31/12/2001,1,1,"AT1000","Moderate",2,"","Fluvial","High velocity flow","Natural exceedance","",,"FD",""
"AT","AT-2002-03-21",2002,21/03/2002,05/04/2002,,,"","Very High",16,"","","","","",,"DFO",""
"AT","AT-2002-06-06",2002,06/06/2002,07/06/2002,3,3,"AT1000","High",1,"","Fluvial","Deep flood","Natural exceedance","",,"FD",""
"AT","AT-2002-07-17",2002,17/07/2002,18/07/2002,1,1,"AT1000","Moderate",1,"","Fluvial","","","",,"FD",""
"AT","AT-2002-08-07",2002,06/08/2002,21/08/2002,70,70,"AT1000","Very High",15,"","Fluvial,Pluvial","Flash flood,Debris flow,Deep flood,High velocity flow,Other","Natural exceedance,Defence or infrastructural failure,Blockage/restriction","Very Rare",,"FD","Data on Degree_TotalDamage obtained from EM-DAT, Data on Fatalities obtained from EM-DAT"
"AT","AT-2003-08-29",2003,29/08/2003,30/08/2003,1,1,"AT1000","Very High",1,"","Fluvial","Flash flood","Natural exceedance","Very Rare",,"FD",""
"AT","AT-2005-02-12",2005,12/02/2005,14/02/2005,2,2,"AT1000","High",2,"","Fluvial","High velocity flow","Natural exceedance","",,"FD",""
"AT","AT-2005-07-11",2005,11/07/2005,13/07/2005,1,1,"AT1000","High",2,"","Pluvial","Other","Natural exceedance","Rare",,"FD",""
"AT","AT-2005-08-22",2005,20/08/2005,27/08/2005,45,45,"AT1000,AT2000","Very High",7,"","Pluvial,Fluvial","Deep flood,High velocity flow,Other,Other rapid onset,Debris flow","Defence exceedance,Natural exceedance,Defence or infrastructural failure,Blockage/restriction","Very Rare",,"FD","Data on Degree_TotalDamage obtained from EM-DAT, Data on Fatalities obtained from EM-DAT"
"AT","AT-2006-03-31",2006,31/03/2006,10/04/2006,1,1,"AT1000","Very High",10,"","Fluvial","","Natural exceedance","Very Rare",,"FD",""
"AT","AT-2006-06-20",2006,20/06/2006,22/06/2006,1,1,"AT1000","Moderate",2,"","Fluvial","Flash flood","Natural exceedance","",,"FD",""
"AT","AT-2006-06-30",2006,28/06/2006,01/07/2006,12,12,"AT1000,AT5000","Very High",3,"","Fluvial","Debris flow","Natural exceedance","Very Rare",,"FD",""
"AT","AT-2006-07-14",2006,14/07/2006,15/07/2006,1,1,"AT1000","Moderate",1,"","Fluvial","Debris flow","Natural exceedance","",,"FD",""
"AT","AT-2006-07-22",2006,22/07/2006,23/07/2006,1,1,"AT1000","Moderate",1,"","Fluvial","Debris flow","Natural exceedance","",,"FD",""
"AT","AT-2006-07-28",2006,28/07/2006,29/07/2006,2,2,"AT1000","High",1,"","Fluvial","Flash flood,Debris flow","Natural exceedance","",,"FD",""
"AT","AT-2006-08-06",2006,06/08/2006,09/08/2006,4,4,"AT1000","High",3,"","Fluvial","","Natural exceedance","Rare",,"FD",""
"AT","AT-2007-08-20",2007,20/08/2007,21/08/2007,1,1,"AT1000","Very High",1,"","Fluvial","","Natural exceedance","Very Rare",,"FD",""
"AT","AT-2008-04-22",2008,22/04/2008,23/04/2008,1,1,"AT1000","Very High",1,"","Fluvial","","Natural exceedance","Very Rare",,"FD",""
"AT","AT-2008-06-24",2008,24/06/2008,25/06/2008,1,1,"AT1000","Moderate",1,"","Fluvial","Debris flow","Natural exceedance","",,"FD",""
"AT","AT-2009-06-22",2009,22/06/2009,01/07/2009,20,20,"AT1000","Very High",9,"","Fluvial,Pluvial","Deep flood,High velocity flow","Natural exceedance,Defence exceedance","Very Rare",,"FD","Data on Degree_TotalDamage obtained from EM-DAT, Data on Fatalities obtained from EM-DAT"
"AT","AT-2009-07-04",2009,03/07/2009,05/07/2009,3,3,"AT1000","High",2,"","Fluvial","Deep flood,High velocity flow","Natural exceedance","",,"FD",""
"AT","AT-2009-07-18",2009,18/07/2009,19/07/2009,3,3,"AT1000","High",1,"","Fluvial","Debris flow","Natural exceedance","Rare",,"FD",""
"AT","AT-2009-07-30",2009,30/07/2009,31/07/2009,2,2,"AT1000","High",1,"","Fluvial","Debris flow","Natural exceedance","",,"FD",""
"AT","AT-2009-08-22",2009,22/08/2009,23/08/2009,3,3,"AT1000","Very High",1,"","Fluvial","Debris flow","Natural exceedance","Very Rare",,"FD",""
"AT","AT-2009-08-28",2009,28/08/2009,29/08/2009,1,1,"AT1000","Moderate",1,"","Fluvial","Debris flow","Blockage/restriction","",,"FD",""
"AT","AT-2010-02-22",2010,22/02/2010,23/02/2010,1,1,"AT1000","Moderate",1,"","Fluvial","Flash flood","Blockage/restriction","",,"FD",""
"AT","AT-2010-05-06",2010,06/05/2010,07/05/2010,1,1,"AT1000","Moderate",1,"","Fluvial","Debris flow","Natural exceedance","",,"FD",""
"AT","AT-2010-06-02",2010,02/06/2010,04/06/2010,1,1,"AT1000","Moderate",2,"","Fluvial","Deep flood","Natural exceedance","",,"FD",""
"AT","AT-2010-07-11",2010,11/07/2010,14/07/2010,3,3,"AT2000,AT1000","High",3,"","Fluvial","Debris flow","Natural exceedance,Defence or infrastructural failure,Defence exceedance","",,"FD",""
"AT","AT-2010-07-16",2010,16/07/2010,17/07/2010,1,1,"AT1000","Moderate",1,"","Fluvial","Debris flow","Natural exceedance","",,"FD",""
"AT","AT-2013-06-02",2013,02/06/2013,03/06/2013,,,"","Very High",1,"","","","","",,"EM-DAT",""
"AT","AT-AT3000701",2010,,,1,1,"AT1000","Moderate",,"","Fluvial","","Natural exceedance","",,"FD",""
"AT","AT-AT3000702",2001,,,1,1,"AT1000","Moderate",,"","Fluvial","","Natural exceedance","",,"FD",""
"AT","AT-AT3001400",2002,,,1,1,"AT1000","Moderate",,"","","","","",,"FD",""
"AT","AT-AT4000500",1987,,,1,1,"AT1000","Moderate",,"","Fluvial","Debris flow","Natural exceedance","",,"FD",""
"AT","AT-AT4009400",1998,,,1,1,"AT1000","Moderate",,"","Fluvial","High velocity flow","Natural exceedance","",,"FD",""
"AT","AT-AT4009500",1983,,,1,1,"AT1000","Very High",,"","Fluvial","High velocity flow","Natural exceedance","Very Rare",,"FD",""
"AT","AT-AT4009600",1998,,,1,1,"AT1000","Moderate",,"","Fluvial","High velocity flow","Natural exceedance","",,"FD",""
"AT","AT-AT6001600",1997,,,1,1,"AT1000","Very High",,"","Pluvial","High velocity flow","Defence exceedance","Very Rare",,"FD",""
"AT","AT-AT7000009",1994,,,1,1,"AT1000","Moderate",,"","Fluvial","Debris flow","Natural exceedance","",,"FD",""
"AT","AT-AT7000017",1983,,,1,1,"AT1000","Moderate",,"","Fluvial","Debris flow","Natural exceedance","",,"FD",""
"AT","AT-AT7000019",1986,,,1,1,"AT1000","Moderate",,"","Fluvial","Debris flow","Natural exceedance","",,"FD",""
"BA","BA-1989-01-26",1989,26/01/1989,02/02/1989,,,"","Very High",8,"","","","","",,"DFO",""
"BA","BA-1996-09-20",1996,20/09/1996,24/09/1996,,,"","Very High",5,"","","","","",,"DFO",""
"BA","BA-2001-06",2001,,,,,"","Moderate",,"","","","","",,"EM-DAT",""
"BA","BA-2004-03-23",2004,23/03/2004,03/04/2004,,,"","Moderate",11,"","","","","",,"EM-DAT",""
"BA","BA-2004-04-06",2004,06/04/2004,14/04/2004,,,"","Moderate",8,"","","","","",,"EM-DAT","Data on Degree_TotalDamage obtained from DFO"
"BA","BA-2005-12-06",2005,06/12/2005,09/12/2005,,,"","Moderate",3,"","","","","",,"EM-DAT",""
"BA","BA-2009-02-01",2009,01/02/2009,16/02/2009,,,"","Moderate",15,"","","","","",,"EM-DAT",""
"BA","BA-2009-07-07",2009,07/07/2009,15/07/2009,,,"","Moderate",8,"","","","","",,"EM-DAT",""
"BA","BA-2010-06-20",2010,20/06/2010,22/06/2010,,,"","Very High",2,"","","","","",,"EM-DAT","Data on Fatalities obtained from DFO"
"BA","BA-2010-12-03",2010,03/12/2010,05/12/2010,,,"","Very High",2,"","","","","",,"EM-DAT",""
"BA","BA-2014-05-14",2014,14/05/2014,19/05/2014,,,"","Very High",5,"International","","","","Very Rare",,"National Authorities",""
"BE","BE-1980-07",1980,,,,,"","Very High",,"Regional","","","","Rare",,"National Authorities",""
"BE","BE-1984-02",1984,,,,,"","Moderate",,"","","","","",,"EM-DAT",""
"BE","BE-1987-08-24",1987,24/08/1987,24/08/1987,,,"","Moderate",,"","","","","",,"EM-DAT",""
"BE","BE-1993-01-11",1993,11/01/1993,11/01/1993,,,"","High",,"Regional","","","","Rare",,"EM-DAT",""
"BE","BE-1993-12-20",1993,20/12/1993,31/12/1993,,,"","Very High",11,"Regional","","","","Very Rare",,"EM-DAT",""
"BE","BE-1994-08",1994,,,,,"","Moderate",,"","","","","",,"EM-DAT",""
"BE","BE-1995-01",1995,,,,,"","Very High",,"Regional","","","","Rare",,"National Authorities",""
"BE","BE-1995-01-28",1995,28/01/1995,,,,"","Moderate",,"Local","","","","Frequent",,"National Authorities",""
"BE","BE-1996-08-29",1996,29/08/1996,,,,"","Moderate",,"Local","","","","Frequent",,"National Authorities",""
"BE","BE-1998-09-12",1998,12/09/1998,14/09/1998,,,"","Very High",2,"Local","","","","Very Rare",,"EM-DAT",""
"BE","BE-1998-09-14",1998,14/09/1998,,,,"","Very High",,"Local","","","","Very Rare",,"National Authorities",""
"BE","BE-1999-12-25",1999,25/12/1999,,,,"","High",,"Regional","","","","Rare",,"National Authorities",""
"BE","BE-2001-01-06",2001,06/01/2001,,,,"","Very High",,"Regional","","","","Rare",,"National Authorities",""
"BE","BE-2002-01-27",2002,27/01/2002,27/01/2002,,,"","Very High",,"Regional","","","","Rare",,"EM-DAT",""
"BE","BE-2002-02-11",2002,11/02/2002,11/02/2002,,,"","Moderate",,"Regional","","","","",,"EM-DAT",""
"BE","BE-2002-02-13",2002,13/02/2002,,,,"","Very High",,"Regional","","","","Rare",,"National Authorities",""
"BE","BE-2002-08-26",2002,26/08/2002,26/08/2002,,,"","Moderate",,"Local","","","","",,"EM-DAT",""
"BE","BE-2002-08-28",2002,28/08/2002,,,,"","Very High",,"Local","","","","Rare",,"National Authorities",""
"BE","BE-2002-12-23",2002,23/12/2002,,,,"","Moderate",,"Regional","","","","Frequent",,"National Authorities",""
"BE","BE-2002-12-24",2002,24/12/2002,24/12/2002,,,"","Very High",,"Regional","","","","Rare",,"EM-DAT",""
"BE","BE-2002-12-31",2002,31/12/2002,,,,"","Moderate",,"Regional","","","","Frequent",,"National Authorities",""
"BE","BE-2003-01-01",2003,01/01/2003,08/01/2003,,,"","High",7,"Regional","","","","Rare",,"EM-DAT",""
"BE","BE-2003-01-03",2003,03/01/2003,,,,"","Very High",,"Regional","","","","Rare",,"National Authorities",""
"BE","BE-2005-07-04",2005,04/07/2005,,,,"","Moderate",,"Local","","","","Frequent",,"National Authorities",""
"BE","BE-2005-07-05",2005,05/07/2005,,,,"","High",,"Regional","","","","Rare",,"National Authorities",""
"BE","BE-2005-09-10",2005,10/09/2005,11/09/2005,,,"","Moderate",1,"Local","","","","Frequent",,"EM-DAT",""
"BE","BE-2007-01-19",2007,19/01/2007,,,,"","High",,"Local","","","","Frequent",,"National Authorities",""
"BE","BE-2007-07-23",2007,23/07/2007,,,,"","High",,"Local","","","","Rare",,"National Authorities",""
"BE","BE-2008-03-10",2008,10/03/2008,,,,"","Very High",,"Local","","","","Frequent",,"National Authorities",""
"BE","BE-2010-11-11",2010,11/11/2010,15/11/2010,,,"","Very High",4,"National","","","","Very Rare",,"EM-DAT",""
"BE","BE-2010-11-13",2010,13/11/2010,,,,"","Very High",,"Regional","","","","Very Rare",,"National Authorities",""
"BE","BE-2011-01-07",2011,07/01/2011,,,,"","Very High",,"Regional","","","","Very Rare",,"National Authorities",""
"BE","BE-2011-01-08",2011,08/01/2011,13/01/2011,,,"","Moderate",5,"","","","","",,"EM-DAT",""
"BE","BE-2012-03-05",2012,05/03/2012,,,,"","Moderate",,"Local","","","","Frequent",,"National Authorities",""
"BE","BE-2012-10-04",2012,04/10/2012,,,,"","Very High",,"Local","","","","Very Rare",,"National Authorities",""
"BE","BE-2014-07-29",2014,29/07/2014,,,,"","Very High",,"Local","","","","Very Rare",,"National Authorities",""
"BG","BG-1980-03-01",1980,01/03/1980,02/03/1980,1,1,"BG1000","Moderate",1,"","Fluvial,Pluvial","","","",,"FD",""
"BG","BG-1980-05-01",1980,01/05/1980,02/05/1980,1,1,"BG1000","Moderate",1,"","Fluvial","","","",,"FD",""
"BG","BG-1983-06-17",1983,17/06/1983,18/06/1983,1,1,"BG1000","Moderate",1,"","Pluvial","","","",,"FD",""
"BG","BG-1983-06-25",1983,25/06/1983,26/06/1983,1,1,"BG1000","Moderate",1,"","Pluvial","","","",,"FD",""
"BG","BG-1984-03-10",1984,10/03/1984,11/03/1984,1,1,"BG2000","Moderate",1,"","Pluvial","","","",,"FD",""
"BG","BG-1984-03-27",1984,27/03/1984,28/03/1984,1,1,"BG1000","Moderate",1,"","Fluvial,Pluvial","","","",,"FD",""
"BG","BG-1987-07-03",1987,03/07/1987,04/07/1987,1,1,"BG1000","Moderate",1,"","Pluvial","","","",,"FD",""
"BG","BG-1990-12-11",1990,11/12/1990,13/12/1990,1,1,"BG3000","Very High",2,"","Fluvial","","","Frequent",,"FD",""
"BG","BG-1991-01-15",1991,15/01/1991,16/01/1991,1,1,"BG3000","Moderate",1,"","Fluvial","","","Frequent",,"FD",""
"BG","BG-1991-05-21",1991,21/05/1991,22/05/1991,1,1,"BG2000","Moderate",1,"","Pluvial","","","",,"FD",""
"BG","BG-1991-06-06",1991,06/06/1991,10/06/1991,1,1,"BG1000","Moderate",4,"","Fluvial,Pluvial","","","",,"FD",""
"BG","BG-1993-06-04",1993,04/06/1993,05/06/1993,1,1,"BG1000","Moderate",1,"","Pluvial","","","",,"FD",""
"BG","BG-1994-05-24",1994,24/05/1994,25/05/1994,1,1,"BG1000","Moderate",1,"","Pluvial","","","",,"FD",""
"BG","BG-1994-07-20",1994,20/07/1994,21/07/1994,1,1,"BG1000","Moderate",1,"","Pluvial","","","",,"FD",""
"BG","BG-1995-09-18",1995,18/09/1995,19/09/1995,1,1,"BG2000","Moderate",1,"","Pluvial","","","",,"FD",""
"BG","BG-1996-04-14",1996,14/04/1996,18/04/1996,1,1,"BG1000","Moderate",4,"","Pluvial","","","",,"FD",""
"BG","BG-1996-05-13",1996,13/05/1996,14/05/1996,1,1,"BG2000","Moderate",1,"","Pluvial","","","",,"FD",""
"BG","BG-1996-05-15",1996,15/05/1996,16/05/1996,1,1,"BG1000","Moderate",1,"","Pluvial","","","",,"FD",""
"BG","BG-1996-11-30",1996,30/11/1996,01/12/1996,2,2,"BG1000,BG3000","Very High",1,"","Pluvial,Fluvial,Groundwater,Artificial water-bearing infrastructure","","","Rare",,"FD",""
"BG","BG-1996-12-02",1996,02/12/1996,03/12/1996,1,1,"BG3000","Moderate",1,"","Artificial water-bearing infrastructure","","","",,"FD",""
"BG","BG-1997-03-26",1997,26/03/1997,01/04/1997,1,1,"BG1000","Moderate",6,"","Fluvial","","","",,"FD",""
"BG","BG-1997-04-02",1997,02/04/1997,04/04/1997,1,1,"BG1000","Moderate",2,"","Fluvial","","","",,"FD",""
"BG","BG-1997-04-14",1997,14/04/1997,15/04/1997,1,1,"BG2000","Moderate",1,"","Pluvial","","","",,"FD",""
"BG","BG-1997-06-20",1997,20/06/1997,21/06/1997,1,1,"BG1000","Moderate",1,"","Pluvial","","","",,"FD",""
"BG","BG-1997-07-18",1997,18/07/1997,19/07/1997,1,1,"BG1000","Moderate",1,"","Pluvial","","","",,"FD",""
"BG","BG-1997-07-21",1997,21/07/1997,22/07/1997,1,1,"BG1000","Moderate",1,"","Pluvial","","","",,"FD",""
"BG","BG-1997-11-01",1997,01/11/1997,02/11/1997,1,1,"BG3000","High",1,"","Fluvial","","","Rare",,"FD",""
"BG","BG-1997-12-14",1997,14/12/1997,16/02/1998,,,"","Very High",64,"","","","","",,"EM-DAT","Data on Fatalities obtained from DFO"
"BG","BG-1998-07-15",1998,15/07/1998,17/07/1998,1,1,"BG1000","Moderate",2,"","Fluvial,Pluvial","","","",,"FD",""
"BG","BG-1999-02-05",1999,05/02/1999,06/02/1999,1,1,"BG1000","Moderate",1,"","Pluvial","","","",,"FD",""
"BG","BG-1999-04-03",1999,03/04/1999,05/04/1999,1,1,"BG1000","Moderate",2,"","Pluvial","","","",,"FD",""
"BG","BG-1999-07-04",1999,04/07/1999,05/07/1999,1,1,"BG1000","Moderate",1,"","Pluvial","","","",,"FD",""
"BG","BG-1999-07-10",1999,10/07/1999,12/07/1999,1,1,"BG1000","Moderate",2,"","Pluvial","","","",,"FD",""
"BG","BG-1999-07-14",1999,14/07/1999,15/07/1999,1,1,"BG3000","Moderate",1,"","Pluvial","","","",,"FD",""
"BG","BG-1999-07-26",1999,26/07/1999,27/07/1999,1,1,"BG1000","Moderate",1,"","Pluvial","","","",,"FD",""
"BG","BG-1999-09-03",1999,02/09/1999,05/09/1999,10,9,"BG2000","Very High",3,"","Pluvial","","","",,"FD",""
"BG","BG-1999-09-06",1999,06/09/1999,07/09/1999,1,1,"BG2000","Very High",1,"","Sea water","","","",,"FD",""
"BG","BG-1999-09-15",1999,15/09/1999,16/09/1999,2,2,"BG2000","High",1,"","Pluvial","","","",,"FD",""
"BG","BG-1999-12-27",1999,27/12/1999,28/12/1999,1,1,"BG1000","Moderate",1,"","Fluvial","","","",,"FD",""
"BG","BG-2000-03-13",2000,13/03/2000,14/03/2000,1,1,"BG1000","Moderate",1,"","Pluvial","","","",,"FD",""
"BG","BG-2000-04-19",2000,19/04/2000,21/04/2000,3,3,"BG1000","High",2,"","Fluvial,Pluvial","","","",,"FD",""
"BG","BG-2000-04-25",2000,25/04/2000,28/04/2000,1,1,"BG1000","Moderate",3,"","Pluvial","","","",,"FD",""
"BG","BG-2000-05-20",2000,20/05/2000,21/05/2000,2,2,"BG1000","High",1,"","Fluvial,Pluvial","","","",,"FD",""
"BG","BG-2001-07-02",2001,02/07/2001,03/07/2001,1,1,"BG1000","Moderate",1,"","Pluvial","","","",,"FD",""
"BG","BG-2001-08-20",2001,20/08/2001,21/08/2001,1,1,"BG2000","Moderate",1,"","Sea water","","","",,"FD",""
"BG","BG-2001-12-11",2001,11/12/2001,12/12/2001,1,1,"BG2000","Moderate",1,"","Sea water","","","",,"FD",""
"BG","BG-2001-12-30",2001,30/12/2001,31/12/2001,1,1,"BG1000","Moderate",1,"","Fluvial,Pluvial","","","",0.19,"FD",""
"BG","BG-2002-05-30",2002,30/05/2002,01/06/2002,,,"","Very High",3,"","","","","",,"DFO",""
"BG","BG-2002-07-09",2002,09/07/2002,10/07/2002,1,1,"BG2000","Moderate",1,"","Pluvial","","","",0.7,"FD",""
"BG","BG-2002-07-17",2002,17/07/2002,18/07/2002,1,1,"BG3000","Very High",1,"","Pluvial","","","",,"FD",""
"BG","BG-2002-07-26",2002,26/07/2002,27/07/2002,2,2,"BG2000","High",1,"","Pluvial","","","",,"FD",""
"BG","BG-2002-07-28",2002,28/07/2002,31/07/2002,,,"","High",4,"","","","","",,"DFO",""
"BG","BG-2002-08-07",2002,05/08/2002,09/08/2002,6,6,"BG1000,BG2000","High",4,"","Pluvial","","","",,"FD",""
"BG","BG-2002-08-10",2002,10/08/2002,11/08/2002,,,"","Very High",1,"","","","","",,"EM-DAT",""
"BG","BG-2002-08-12",2002,12/08/2002,13/08/2002,1,1,"BG1000","Moderate",1,"","Fluvial,Pluvial","","","",,"FD",""
"BG","BG-2002-09-23",2002,23/09/2002,26/09/2002,2,2,"BG3000","High",3,"","Fluvial","","","Rare",,"FD",""
"BG","BG-2002-09-29",2002,29/09/2002,02/10/2002,4,4,"BG2000,BG1000","High",3,"","Pluvial","","","",,"FD",""
"BG","BG-2002-10-03",2002,03/10/2002,04/10/2002,1,1,"BG2000","Moderate",1,"","Pluvial","","","",,"FD",""
"BG","BG-2002-10-24",2002,24/10/2002,25/10/2002,1,1,"BG2000","Moderate",1,"","Pluvial","","","",,"FD",""
"BG","BG-2002-10-30",2002,30/10/2002,31/10/2002,5,4,"BG2000","High",1,"","Pluvial","","Defence exceedance","",,"FD",""
"BG","BG-2002-12-07",2002,07/12/2002,08/12/2002,1,1,"BG2000","Moderate",1,"","Sea water","","","",,"FD",""
"BG","BG-2003-01-11",2003,11/01/2003,12/01/2003,2,2,"BG3000","High",1,"","Fluvial","","","",,"FD",""
"BG","BG-2003-01-31",2003,31/01/2003,01/02/2003,1,1,"BG3000","Moderate",1,"","Fluvial","","","",,"FD",""
"BG","BG-2003-03-17",2003,17/03/2003,18/03/2003,1,1,"BG3000","Moderate",1,"","Fluvial","","","",,"FD",""
"BG","BG-2003-04-15",2003,13/04/2003,18/04/2003,3,3,"BG1000","High",5,"","Fluvial,Pluvial","","","",,"FD",""
