"cc","FloodPhenomenaID","Year","StartDate","EndDate","Number_FE","Number_FL","EUUOMCODE","FP_Severity","FP_Duration","FP_Extension","SourceOfFlooding","CharacteristicsOfFlooding","MechanismOfFlooding","FrequencyCategory","Area","Source","OtherSources"
"LT","LT-2009-12-30",2009,27/12/2009,26/01/2010,2,2,"LT1100","High",30,"","Fluvial","Snow melt flood","Natural exceedance","Frequent",,"FD",""
"LT","LT-2010-03-29",2010,03/03/2010,26/04/2010,12,8,"LT1100","Very High",54,"","Fluvial","Snow melt flood","Natural exceedance","Rare",,"FD",""
"LT","LT-2010-08-08",2010,08/08/2010,08/08/2010,,,"","Very High",,"","","","","",,"EM-DAT",""
"LT","LT-LT1100-2",1995,,,1,1,"LT1100","High",,"","Sea water","Slow onset flood","Natural exceedance","Rare",,"FD",""
"LU","LU-1983-04-13",1983,13/04/1983,13/04/1983,,,"","Moderate",,"","","","","",,"EM-DAT",""
"LU","LU-1993-12-20",1993,20/12/1993,31/12/1993,,,"","Moderate",11,"","","","","",,"EM-DAT",""
"LU","LU-LU RB_000 01",1983,,,1,1,"LU RB_000","Moderate",,"","Pluvial","","","",,"FD",""
"LU","LU-LU RB_000 02",1993,,,1,1,"LU RB_000","Moderate",,"","Pluvial","","","",,"FD",""
"LU","LU-LU RB_000 03",1993,,,1,1,"LU RB_000","Moderate",,"","Pluvial","","","",,"FD",""
"LU","LU-LU RB_000 04",1995,,,1,1,"LU RB_000","Moderate",,"","Pluvial","","","",,"FD",""
"LU","LU-LU RB_000 05",2003,,,1,1,"LU RB_000","Moderate",,"","Pluvial","","","",,"FD",""
"LU","LU-LU RB_000 06",2011,,,1,1,"LU RB_000","Moderate",,"","Pluvial","","","",,"FD",""
"LV","LV-2005-01-08",2005,08/01/2005,10/01/2005,5,5,"LVLUBA,LVGUBA,LVDUBA,LVVUBA","Very High",2,"International","Sea water","Medium onset flood","Natural exceedance","Frequent",,"FD",""
"LV","LV-2010-03-27",2010,27/03/2010,31/03/2010,,,"","High",5,"National","","","","Frequent",,"DFO",""
"LV","LV-LVDUBA_Daugava_Jekabpils_1",1981,,,1,1,"LVDUBA","Very High",,"Local","Fluvial","Snow melt flood","Natural exceedance,Blockage/restriction","Frequent",,"FD",""
"ME","ME-1992-10-06",1992,06/10/1992,18/10/1992,,,"","Very High",13,"","","","","",,"DFO",""
"ME","ME-1992-11-10",1992,10/11/1992,15/11/1992,,,"","High",6,"","","","","",,"DFO",""
"ME","ME-1992-11-28",1992,28/11/1992,28/11/1992,,,"","Very High",,"","","","","",,"EM-DAT",""
"ME","ME-2000-12-28",2000,28/12/2000,30/12/2000,,,"","Moderate",2,"","","","","",,"EM-DAT",""
"ME","ME-2007-11-26",2007,26/11/2007,29/11/2007,,,"","Moderate",3,"","","","","",,"EM-DAT",""
"ME","ME-2009-12-25",2009,25/12/2009,10/01/2010,,,"","Moderate",16,"","","","","",,"EM-DAT",""
"ME","ME-2010-11-12",2010,12/11/2010,16/11/2010,,,"","Moderate",4,"","","","","",,"EM-DAT",""
"ME","ME-2010-12-03",2010,03/12/2010,03/12/2010,,,"","Moderate",,"","","","","",,"EM-DAT",""
"MK","MK-1995-07",1995,,,,,"","Moderate",,"","","","","",300,"EM-DAT",""
"MK","MK-2002-12-06",2002,06/12/2002,10/12/2002,,,"","Moderate",4,"","","","","",,"EM-DAT",""
"MK","MK-2003-01-08",2003,08/01/2003,10/01/2003,,,"","Very High",2,"","","","","",,"EM-DAT",""
"MK","MK-2003-11-30",2003,30/11/2003,30/11/2003,,,"","Moderate",,"","","","","",,"EM-DAT",""
"MK","MK-2004-06-04",2004,04/06/2004,07/06/2004,,,"","Moderate",3,"","","","","",478,"EM-DAT",""
"MK","MK-2005-08-04",2005,04/08/2005,04/08/2005,,,"","Moderate",,"","","","","",,"EM-DAT",""
"MK","MK-2006-08",2006,,,,,"","Moderate",,"","","","","",,"EM-DAT",""
"MK","MK-2013-02-24",2013,24/02/2013,26/02/2013,,,"","Very High",2,"","","","","",20,"EM-DAT",""
"NL","NL-1993-12-21",1993,21/12/1993,31/12/1993,,,"","Very High",10,"International","","","","Very Rare",180,"EM-DAT",""
"NL","NL-1995-01-27",1995,27/01/1995,31/01/1995,,,"","Very High",4,"International","","","","Very Rare",180,"National Authorities",""
"NL","NL-2003-01-02",2003,02/01/2003,06/01/2003,,,"","Very High",4,"International","","","","Very Rare",100,"National Authorities",""
"NL","NL-2003-08-26",2003,26/08/2003,,,,"","High",,"Local","","","","",1,"National Authorities",""
"NL","NL-2011-01-08",2011,08/01/2011,11/01/2011,,,"","Very High",3,"International","","","","Very Rare",75,"National Authorities",""
